source_section,source_title,target_section,target_title,reference_type,description
33.1.b,适用范围,CCAR-21,民用航空产品和零部件合格审定规定,external引用,规定型号合格证申请依据
33.1.b,适用范围,CCAR-34,涡轮发动机飞机燃油排泄和排气排出物规定,external引用,需同时符合CCAR-34
33.4,持续适航文件,附件A,持续适航文件,internal引用,根据附件A编制持续适航文件
33.5.c,发动机安装和使用说明手册,33.75,安全分析,internal引用,针对安全分析做出假设
33.7.a,发动机额定值和使用限制,CCAR-21,民用航空产品和零部件合格审定规定,external引用,额定值包含在型号合格证数据单中
33.7.d,发动机额定值和使用限制,33.5.a.6,发动机安装和使用说明手册,internal引用,考虑仪表精度限制要求
33.19.b,耐用性,CCAR-35.21,螺旋桨适航标准,external引用,螺旋桨桨距调节系统需满足
33.19.b,耐用性,CCAR-35.23,螺旋桨适航标准,external引用,螺旋桨桨距调节系统需满足
33.19.b,耐用性,CCAR-35.42,螺旋桨适航标准,external引用,螺旋桨桨距调节系统需满足
33.19.b,耐用性,CCAR-35.43,螺旋桨适航标准,external引用,螺旋桨桨距调节系统需满足
33.27.b,涡轮、压气机、风扇和涡轮增压器转子,33.28,发动机控制系统,internal引用,除33.28条外的系统要求
33.28.b.1,发动机控制系统,33.51,工作试验,internal引用,需符合工作试验要求
33.28.b.1,发动机控制系统,33.65,喘振和失速特性,internal引用,需符合喘振和失速要求
33.28.b.1,发动机控制系统,33.73,功率或推力响应,internal引用,需符合响应要求
33.28.d,发动机控制系统,33.75,安全分析,internal引用,LOTC/LOPC事件评估
33.28.e,发动机控制系统,33.75,安全分析,internal引用,系统安全评估
33.28.f,发动机控制系统,33.27,涡轮、压气机、风扇和涡轮增压器转子,internal引用,保护转子结构完整性
33.65,喘振和失速特性,33.5,发动机安装和使用说明手册,internal引用,按使用说明运转时评估
33.68,进气系统的结冰,CCAR-25附件C,运输类飞机适航标准,external引用,连续最大/间断最大结冰状态
33.70,发动机限寿件,33.75,安全分析,internal引用,危害性发动机后果定义
33.72,液压作动系统,33.71,润滑系统,internal引用,符合33.71条设计准则
33.74,持续转动,33.75,安全分析,internal引用,危害性发动机后果列表
33.75.c,安全分析,33.15,材料,internal引用,材料完整性要求
33.75.c,安全分析,33.27,涡轮、压气机、风扇和涡轮增压器转子,internal引用,转子强度要求
33.75.c,安全分析,33.70,发动机限寿件,internal引用,限寿件要求
33.89,工作试验,33.73,功率或推力响应,internal引用,响应时间验证
33.90,初始维修检查,33.201,早期ETOPS资格的设计和试验要求,internal引用,可按ETOPS试验进行
33.201.g,早期ETOPS资格的设计和试验要求,33.90,初始维修检查,internal引用,试验可中断进行在翼检查
附件A,持续适航文件,33.4,持续适航文件,internal引用,持续适航文件要求
