entity_id,entity_type,entity_name,description,regulation_reference,definition_or_spec
ENT001,Component,涡轮转子,涡轮发动机转子组件,33.27,必须具有足够强度承受超转试验
ENT002,Component,压气机转子,压气机转子组件,33.27,必须具有足够强度承受超转试验
ENT003,Component,风扇转子,风扇转子组件,33.27,必须具有足够强度承受超转试验
ENT004,Component,涡轮增压器转子,涡轮增压器的转子组件,33.27/33.34,必须具有足够强度承受超转试验；机匣必须包容转子失效碎片
ENT005,LifeLimitedPart,盘,转子盘件,33.70,主要失效可能导致危害性发动机后果的转子件
ENT006,LifeLimitedPart,隔圈,转子隔圈,33.70,主要失效可能导致危害性发动机后果的转子件
ENT007,LifeLimitedPart,轮毂,轮毂件,33.70,主要失效可能导致危害性发动机后果的结构件
ENT008,LifeLimitedPart,轴,转子轴,33.70/33.62,主要失效可能导致危害性发动机后果；需要应力分析
ENT009,LifeLimitedPart,高压机匣,高压机匣,33.70,主要失效可能导致危害性发动机后果的静子结构件
ENT010,LifeLimitedPart,非冗余安装部件,非冗余的安装部件,33.70,主要失效可能导致危害性发动机后果
ENT011,Component,压气机转子机匣,压气机机匣,33.19,必须对转子叶片失效具有包容性
ENT012,Component,涡轮转子机匣,涡轮机匣,33.19,必须对转子叶片失效具有包容性
ENT013,Component,转子叶片,压气机/涡轮叶片,33.19/33.94,失效时必须确定能量水平和轨迹；包容性试验
ENT014,Component,燃油系统,发动机燃油供给系统,33.35/33.67,必须提供适当燃油混合物；需燃油滤
ENT015,Component,燃油滤,燃油过滤装置,33.35/33.67,必须规定类型和过滤度
ENT016,Component,燃油计量装置,燃油计量设备,33.67,进口与发动机之间设置燃油滤
ENT017,Component,润滑系统,发动机润滑系统,33.39/33.71,所有姿态和大气条件下正常工作
ENT018,Component,滑油滤,滑油过滤装置,33.71,需有旁路和指示装置
ENT019,Component,滑油箱,滑油储箱,33.71,需10%膨胀空间、通气、切断阀
ENT020,Component,点火系统,发动机点火系统,33.37/33.69,双点火系统/至少二个点火器
ENT021,Component,点火器,点火装置,33.69,至少二个点火器和二条独立次级电路
ENT022,Component,控制系统,发动机控制系统,33.28,控制、限制或监控发动机工作
ENT023,Component,电子式超转保护系统,电子超转保护,33.28.f,需包括系统检测方法
ENT024,Component,液压机械式超转保护,液压机械超转保护,33.28.f,需通过试验验证
ENT025,Component,进气通道,发动机进气道,33.35/33.68,需防结冰
ENT026,Component,引气系统,压气机引气系统,33.66,提供引气不应有不利影响
ENT027,Component,附件传动装置,附件驱动装置,33.23,需密封措施防止污染和泄漏
ENT028,Component,反推力装置,发动机反推装置,33.97,需进行175次反推力试验
ENT029,Component,燃烧燃料加力装置,加力燃烧室,33.79,需设切断装置
ENT030,Component,螺旋桨桨距调节系统,桨距调节,33.19,需满足CCAR-35部要求
ENT031,Component,发动机安装构件,发动机安装节,33.22,需承受限制载荷和极限载荷
ENT032,Component,防火墙零件,防火墙用零件,33.17,必须是防火的、防腐蚀的
ENT033,Component,易燃液体箱,燃油/滑油箱,33.17,必须是防火的或用防火罩防护
ENT034,Component,外部管路,易燃液体管路,33.17,必须是耐火或防火的
ENT035,Component,液压作动系统,液压系统,33.72,所有预期工作状态下正常工作
ENT036,Component,仪表连接件,仪表接口,33.29,需标记防错接
ENT037,Component,转子不平衡显示系统,振动监测系统,33.29,涡轮发动机必须提供接头
ENT038,Component,涡轮冷却系统,涡轮冷却,33.29.h,需提供监测仪表
ENT039,Component,螺旋桨,螺旋桨装置,33.95/33.96,需进行系统试验
ENT040,Component,螺旋桨制动器,螺旋桨制动,33.96,需进行400次循环试验
ENT041,Component,锁定转子装置,防止持续转动装置,33.92/33.74,需进行25次试验
ENT042,Component,静子零件,承压静子件,33.64,需承受压力试验
ENT043,Component,可调静子叶片,可变静子叶片,33.83,需评估对振动影响
ENT044,Component,整体叶盘转子,整体叶盘,33.94,叶片缺损至少80%进行包容性试验
TST001,Test,转子超转试验,转子超转验证,33.27.c,5分钟；120%/115%最大转速
TST002,Test,150小时持久试验,活塞发动机持久试验,33.49,150小时；7个试验系列
